rank,category,name,action,edge_pct,capital,horizon,liquidity,risks,url
1,A. Prediction-market structural (robust),[polymarket] Philadelphia Union vs. Inter Miami CF,"Buy NO on all 3 outcomes (~$1.97/set). Mutually exclusive => at most one YES, so payout ≥ $2/set; YES bids sum to $1.030",1.52,$1.97/set,event resolution,24h vol $553,displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/mls-phi-mia-2026-08-19
2,A. Prediction-market structural (robust),[kalshi] Maine Senate Exact Outcome,"Buy NO on all 2 outcomes (~$0.99/set). Mutually exclusive => at most one YES, so payout ≥ $1/set; YES bids sum to $1.010",1.01,$0.99/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.035/set eat into this,kalshi.com — event ticker `KXMESENOUTCOME-27JAN`
3,A. Prediction-market structural (robust),[kalshi] Who will successfully take over Warner Brothers?,"Buy NO on all 3 outcomes (~$1.99/set). Mutually exclusive => at most one YES, so payout ≥ $2/set; YES bids sum to $1.010",0.5,$1.99/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.047/set eat into this,kalshi.com — event ticker `KXTAKEOVERACQWB-27JUN30`
4,A. Prediction-market structural (robust),[kalshi] Pro Basketball Central Division Winner,"Buy NO on all 5 outcomes (~$3.98/set). Mutually exclusive => at most one YES, so payout ≥ $4/set; YES bids sum to $1.020",0.5,$3.98/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.057/set eat into this,kalshi.com — event ticker `KXNBACENTRAL-26`
5,A. Prediction-market structural (robust),[kalshi] 2026 Midterms: House popular vote margin of victory? (Generic ballot),"Buy NO on all 10 outcomes (~$8.96/set). Mutually exclusive => at most one YES, so payout ≥ $9/set; YES bids sum to $1.045",0.5,$8.96/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.066/set eat into this,kalshi.com — event ticker `KXHOUSEPOPVOTEMARGIN-27NOV03`
6,A. Prediction-market structural (robust),[kalshi] How many House seats will Democrats hold after the Midterms?,"Buy NO on all 12 outcomes (~$10.95/set). Mutually exclusive => at most one YES, so payout ≥ $11/set; YES bids sum to $1.051",0.47,$10.95/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.067/set eat into this,kalshi.com — event ticker `KXDHOUSESEATS-27`
7,A. Prediction-market structural (robust),[kalshi] How many Senate seats will Republicans hold after the Midterms?,"Buy NO on all 15 outcomes (~$13.95/set). Mutually exclusive => at most one YES, so payout ≥ $14/set; YES bids sum to $1.050",0.36,$13.95/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.068/set eat into this,kalshi.com — event ticker `RSENATESEATS-27`
8,A. Prediction-market structural (robust),[kalshi] How many Senate seats will Democrats hold after the Midterms?,"Buy NO on all 10 outcomes (~$8.97/set). Mutually exclusive => at most one YES, so payout ≥ $9/set; YES bids sum to $1.029",0.32,$8.97/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.065/set eat into this,kalshi.com — event ticker `KXDSENATESEATS-27`
9,A. Prediction-market structural (robust),[kalshi] FA Cup Champion,"Buy NO on all 24 outcomes (~$22.94/set). Mutually exclusive => at most one YES, so payout ≥ $23/set; YES bids sum to $1.060",0.26,$22.94/set,event resolution,24h vol n/a (books may be thin),displayed bid depth may be one lot; edge locked only for size actually filled; Kalshi fees ≈ $0.071/set eat into this,kalshi.com — event ticker `KXFACUP-27`
10,A. Prediction-market structural (robust),[polymarket] Pro Football: AFC South Champion,"Buy NO on all 5 outcomes (~$3.99/set). Mutually exclusive => at most one YES, so payout ≥ $4/set; YES bids sum to $1.010",0.25,$3.99/set,event resolution,"24h vol $2,421",displayed bid depth may be one lot; edge locked only for size actually filled; Polymarket charges no trading fee (gas ≈ $0 via relayer),polymarket.com/event/pro-football-afc-south-champion
